canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,fuente
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(-c2ccccc2)o1)Nc1ccccc1-3,CHEMBL1831061,IC50,,,IC50,,,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(CO)o1)Nc1ccccc1-3,CHEMBL1831062,IC50,,,IC50,,,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1cc2ccccc2o1)Nc1ccccc1-3,CHEMBL1831063,IC50,,,IC50,,,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Oc1ccccc1-3,CHEMBL1831064,IC50,nM,200.0,IC50,uM,0.2,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(I)o1)Oc1ccccc1-3,CHEMBL1831065,IC50,nM,500.0,IC50,uM,0.5,ChEMBL
Cc1ccc(C2Oc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1831066,IC50,nM,150.0,IC50,uM,0.15,ChEMBL
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2OC3c2ccc(Cl)o2)c1,CHEMBL1831067,IC50,nM,370.0,IC50,uM,0.37,ChEMBL
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2OC3c2ccc(C)o2)c1,CHEMBL1831068,IC50,nM,600.0,IC50,uM,0.6,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Oc1ccc([N+](=O)[O-])cc1-3,CHEMBL1831069,IC50,nM,120.0,IC50,uM,0.12,ChEMBL
Cc1ccc(C2Oc3ccc([N+](=O)[O-])cc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1831070,IC50,nM,100.0,IC50,uM,0.1,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Nc1ccc([N+](=O)[O-])cc1-3,CHEMBL1831071,IC50,nM,170.0,IC50,uM,0.17,ChEMBL
Cc1ccc(C2Oc3cc([N+](=O)[O-])c(Cl)cc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1831072,IC50,nM,170.0,IC50,uM,0.17,ChEMBL
CCOC(=O)c1ccc2c(c1)-n1c(-c3ccccc3)c3c(=O)n(C)c(=O)n(C)c3c1C(c1ccc(Br)o1)O2,CHEMBL1831073,IC50,nM,50.0,IC50,uM,0.05,ChEMBL
CCOC(=O)c1ccc2c(c1)-n1c(-c3ccccc3)c3c(=O)n(C)c(=O)n(C)c3c1C(c1ccc(C)o1)O2,CHEMBL1831074,IC50,nM,80.0,IC50,uM,0.08,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Oc1ccc(C(=O)O)cc1-3,CHEMBL1831075,IC50,nM,40.0,IC50,uM,0.04,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1087004,IC50,nM,100.0,IC50,uM,0.1,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Nc1ccccc1-3,CHEMBL1831058,IC50,nM,50.0,IC50,uM,0.05,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(I)o1)Nc1ccccc1-3,CHEMBL1831059,IC50,nM,100.0,IC50,uM,0.1,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Oc1ccccc1-3,CHEMBL1831064,IC50,nM,90.0,IC50,uM,0.09,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Oc1ccc([N+](=O)[O-])cc1-3,CHEMBL1831069,IC50,nM,25.0,IC50,uM,0.025,ChEMBL
Cc1ccc(C2Oc3ccc([N+](=O)[O-])cc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1831070,IC50,nM,25.0,IC50,uM,0.025,ChEMBL
CCOC(=O)c1ccc2c(c1)-n1c(-c3ccccc3)c3c(=O)n(C)c(=O)n(C)c3c1C(c1ccc(Br)o1)O2,CHEMBL1831073,IC50,nM,25.0,IC50,uM,0.025,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Oc1ccc(C(=O)O)cc1-3,CHEMBL1831075,IC50,nM,8.0,IC50,uM,0.008,ChEMBL
CC(C)N.Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)[C@H](c1ccc(Br)o1)Oc1ccc(C(=O)O)cc1-3,CHEMBL2386374,IC50,nM,4.0,IC50,nM,4.0,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(N)sc1-2,CHEMBL3323398,IC50,nM,11000.0,IC50,uM,11.0,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL495336,IC50,nM,2300.0,IC50,uM,2.3,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C3CC3)sc1-2,CHEMBL3323399,IC50,nM,8900.0,IC50,uM,8.9,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C(C)C)sc1-2,CHEMBL3323400,IC50,nM,5800.0,IC50,uM,5.8,ChEMBL
CCC(C)C(=O)Nc1nc2c(s1)-c1nc(Nc3cc(Cl)ccc3OC)sc1CCC2,CHEMBL3323401,IC50,nM,6600.0,IC50,uM,6.6,ChEMBL
COC(=O)CCC(=O)Nc1nc2c(s1)-c1nc(Nc3cc(Cl)ccc3OC)sc1CCC2,CHEMBL3323402,IC50,nM,8800.0,IC50,uM,8.8,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)c3ccno3)sc1-2,CHEMBL3323403,IC50,nM,4800.0,IC50,uM,4.8,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCCc1nc(N)sc1-2,CHEMBL3323404,IC50,nM,9200.0,IC50,uM,9.2,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL3323405,IC50,nM,4100.0,IC50,uM,4.1,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCCc1nc(NC(=O)C3CC3)sc1-2,CHEMBL3323406,IC50,nM,4500.0,IC50,uM,4.5,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCCc1nc(NC(=O)C(C)C)sc1-2,CHEMBL3323407,IC50,nM,8700.0,IC50,uM,8.7,ChEMBL
CCC(C)C(=O)Nc1nc2c(s1)-c1nc(Nc3cc(Cl)ccc3OC)sc1CCCC2,CHEMBL3323408,IC50,nM,2900.0,IC50,uM,2.9,ChEMBL
COC(=O)CCC(=O)Nc1nc2c(s1)-c1nc(Nc3cc(Cl)ccc3OC)sc1CCCC2,CHEMBL3323409,IC50,nM,8300.0,IC50,uM,8.3,ChEMBL
COc1ccc(Cl)cc1Nc1nc2c(s1)CCCCc1nc(NC(=O)c3ccno3)sc1-2,CHEMBL3323410,IC50,nM,6600.0,IC50,uM,6.6,ChEMBL
CN(C)c1ccc(Cl)cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL3323411,IC50,nM,6900.0,IC50,uM,6.9,ChEMBL
Cc1cccnc1Nc1nc2c(s1)CCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL3323412,IC50,nM,7200.0,IC50,uM,7.2,ChEMBL
CN(C)c1cccc(Nc2nc3c(s2)CCCc2nc(NC(=O)C(C)(C)C)sc2-3)c1,CHEMBL3323413,IC50,nM,2200.0,IC50,uM,2.2,ChEMBL
COc1ccc([N+](=O)[O-])cc1Nc1nc2c(s1)CCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL3323414,IC50,nM,3600.0,IC50,uM,3.6,ChEMBL
CN(C)c1ccc(Cl)cc1Nc1nc2c(s1)CCCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL3323415,IC50,nM,2100.0,IC50,uM,2.1,ChEMBL
Cc1cccnc1Nc1nc2c(s1)CCCCc1nc(NC(=O)C(C)(C)C)sc1-2,CHEMBL3323416,IC50,nM,5200.0,IC50,uM,5.2,ChEMBL
